Product,Version,LoC,Files
WordPress,3.7.2,130892,444
WordPress,3.7.3,130916,444
WordPress,3.7.4,130986,444
WordPress,3.7.5,131013,444
WordPress,3.7.6,131415,444
WordPress,3.7.7,131420,444
WordPress,3.7.8,131672,444
WordPress,3.7.9,131931,444
WordPress,3.7.10,131926,444
WordPress,3.7.11,131972,444
WordPress,3.7.12,131975,444
WordPress,3.7.13,131985,444
WordPress,3.8,132871,482
WordPress,3.8.1,132923,483
WordPress,3.8.2,133048,482
WordPress,3.8.3,133072,482
WordPress,3.8.4,133142,482
WordPress,3.8.5,133169,482
WordPress,3.8.6,133571,482
WordPress,3.8.7,133576,482
WordPress,3.8.8,133828,482
WordPress,3.8.9,134088,482
WordPress,3.8.10,134083,482
WordPress,3.8.11,134129,482
WordPress,3.8.12,134132,482
WordPress,3.8.13,134142,482
WordPress,3.9,135538,479
WordPress,3.9.1,135565,479
WordPress,3.9.2,135664,479
WordPress,3.9.3,135694,479
WordPress,3.9.4,136096,479
WordPress,3.9.5,136101,479
WordPress,3.9.6,136355,479
WordPress,3.9.7,136612,479
WordPress,3.9.8,136607,479
WordPress,3.9.9,136653,479
WordPress,3.9.10,136684,479
WordPress,3.9.11,136694,479
WordPress,4.0,138455,481
WordPress,4.0.1,138533,481
WordPress,4.0.2,138990,481
WordPress,4.0.3,138995,481
WordPress,4.0.4,139093,481
WordPress,4.0.5,139251,481
WordPress,4.0.6,139508,481
WordPress,4.0.7,139503,481
WordPress,4.0.8,139549,481
WordPress,4.0.9,139725,481
WordPress,4.0.10,139735,481
WordPress,4.1,141367,476
WordPress,4.1.1,141441,476
WordPress,4.1.2,141898,476
WordPress,4.1.3,141903,476
WordPress,4.1.4,142001,476
WordPress,4.1.5,142159,476
WordPress,4.1.6,142416,476
WordPress,4.1.7,142405,476
WordPress,4.1.8,142451,476
WordPress,4.1.9,142581,476
WordPress,4.1.10,142591,476
WordPress,4.2,144534,477
WordPress,4.2.1,144635,477
WordPress,4.2.2,144795,477
WordPress,4.2.3,145107,477
WordPress,4.2.4,145110,477
WordPress,4.2.5,145155,477
WordPress,4.2.6,145285,477
WordPress,4.2.7,145295,477
WordPress,4.3,148631,480
WordPress,4.3.1,148662,480
WordPress,4.3.2,148660,480
WordPress,4.3.3,148670,480
WordPress,4.4,156319,565
WordPress,4.4.1,156563,565
WordPress,4.4.2,156601,565
ZendFramework,1.0.0,131445,1330
ZendFramework,1.0.1,130423,1274
ZendFramework,1.0.2,134737,1315
ZendFramework,1.0.3,146879,1484
ZendFramework,1.0.4,150162,1490
ZendFramework,1.5.0,194564,1883
ZendFramework,1.5.1,194866,1884
ZendFramework,1.5.2,196180,1886
ZendFramework,1.5.3,198940,1894
ZendFramework,1.6.0,237609,2370
ZendFramework,1.6.1,238943,2384
ZendFramework,1.6.2,240499,2397
ZendFramework,1.7.0,265586,2643
ZendFramework,1.7.1,267662,2664
ZendFramework,1.7.2,272740,2695
ZendFramework,1.7.3,272077,2684
ZendFramework,1.7.4,273055,2692
ZendFramework,1.7.5,274455,2700
ZendFramework,1.7.6,275419,2709
ZendFramework,1.7.7,276525,2733
ZendFramework,1.7.8,279347,2783
ZendFramework,1.7.9,271665,2581
ZendFramework,1.8.0,316764,3060
ZendFramework,1.8.1,318397,3074
ZendFramework,1.8.2,318962,3076
ZendFramework,1.8.3,319862,3090
ZendFramework,1.8.4,320656,3098
ZendFramework,1.8.5,321742,3106
ZendFramework,1.9.0,355069,3385
ZendFramework,1.9.1,355285,3392
ZendFramework,1.9.2,356156,3394
ZendFramework,1.9.3,358086,3403
ZendFramework,1.9.4,358679,3406
ZendFramework,1.9.5,359352,3408
ZendFramework,1.9.6,360699,3411
ZendFramework,1.9.7,361784,3419
ZendFramework,1.9.8,360354,3406
ZendFramework,1.10.0,502565,4014
ZendFramework,1.10.1,504238,4022
ZendFramework,1.10.2,504940,4026
ZendFramework,1.10.3,505701,4025
ZendFramework,1.10.4,507001,4029
ZendFramework,1.10.5,508949,4032
ZendFramework,1.10.6,509505,4035
ZendFramework,1.10.7,511960,4060
ZendFramework,1.10.9,513746,4081
ZendFramework,1.11.0,548603,4296
ZendFramework,1.11.1,549442,4300
ZendFramework,1.11.2,548638,4307
ZendFramework,1.11.3,549069,4309
ZendFramework,1.11.4,550112,4315
ZendFramework,1.11.5,550318,4316
ZendFramework,1.11.6,550932,4318
ZendFramework,1.11.7,551111,4318
ZendFramework,1.11.8,551653,4319
ZendFramework,1.11.9,552138,4321
ZendFramework,1.11.10,552476,4332
ZendFramework,1.11.11,553392,4336
ZendFramework,1.11.12,554037,4339
ZendFramework,1.12.0,572491,4540
ZendFramework,1.12.3,574100,4543
ZendFramework,2.0.3,126429,1790
ZendFramework,2.2.4,151297,2305
ZendFramework,2.3.7,158639,2391
osCommerce,2.3.1,44952,529
osCommerce,2.3.3.4,46804,569
osCommerce,2.3.4,60003,698
phpBB,3,148276,269
phpBB,3.0.12,149361,270
phpBB,3.1.3,182970,740
phpMyAdmin,2.11.11.3-english,46749,218
phpMyAdmin,3.5.0-english,116619,341
phpMyAdmin,4.1.3-english,138830,455
